type of place of residence,source of drinking water,time to get to water source,type of toilet facility,toilet facilities shared with other households,household has: electricity,household has: radio,household has: television,main floor material,main wall material,main roof material,type of cooking fuel,use of internet,frequency of listening to radio,frequency of watching television,frequency of reading newspaper or magazine
2,41,15,22,0.0,0,0,0,11,21,33,8,0,1,1,1
2,41,60,22,0.0,0,0,0,11,31,33,8,0,1,0,1
2,41,30,22,0.0,0,0,0,11,21,33,8,0,0,0,0
2,43,60,22,0.0,0,0,0,34,36,31,8,0,1,0,0
2,42,30,22,0.0,0,0,0,11,23,31,9,0,2,0,0
2,43,30,21,0.0,0,0,0,11,36,31,9,0,1,0,0
2,42,30,22,0.0,0,0,0,11,23,31,8,0,2,0,0
2,43,60,22,0.0,0,0,0,11,23,31,8,0,2,1,0
2,43,60,22,0.0,0,0,0,11,23,31,8,0,2,1,2
2,43,30,22,0.0,1,0,0,11,23,31,9,0,2,0,0
2,43,60,21,0.0,0,0,0,11,23,31,8,0,2,0,0
2,14,60,22,0.0,0,1,0,34,36,31,8,0,2,0,0
2,14,60,22,0.0,0,1,0,34,36,31,8,0,1,0,0
2,43,40,21,0.0,0,0,0,11,36,31,8,0,2,0,0
2,43,40,21,0.0,0,0,0,11,36,31,8,0,1,0,0
2,43,40,21,0.0,0,0,0,11,36,31,8,0,2,0,1
2,41,70,31,,0,0,0,11,23,33,9,0,0,0,0
2,41,20,23,0.0,0,0,0,11,23,31,8,0,2,0,0
2,41,20,23,0.0,0,0,0,11,23,31,8,0,1,1,1
2,41,30,31,,0,0,0,11,23,33,8,0,0,0,0
2,41,20,23,0.0,1,1,0,11,36,31,7,0,2,0,0
2,41,20,23,0.0,1,1,0,11,36,31,7,0,2,0,0
2,42,60,23,0.0,0,0,0,11,23,33,8,0,2,0,0
2,42,1,23,0.0,0,0,0,11,23,31,9,0,2,0,0
2,41,40,23,0.0,0,0,0,11,23,33,8,0,2,0,0
2,41,40,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,41,65,22,0.0,1,0,0,11,23,31,8,0,2,0,0
2,41,90,23,0.0,0,0,0,11,23,33,9,0,0,0,0
2,41,90,23,0.0,0,0,0,11,23,33,9,0,0,0,0
2,43,90,22,0.0,1,1,0,11,36,31,8,0,2,1,0
2,43,90,22,0.0,1,1,0,11,36,31,8,0,2,1,1
2,43,180,22,0.0,0,1,0,11,36,31,9,0,1,0,0
2,43,120,23,0.0,0,0,0,11,23,31,8,0,0,0,0
2,43,120,22,0.0,1,1,1,11,23,31,8,0,2,2,0
2,43,120,22,0.0,1,0,0,34,36,31,8,0,2,2,0
2,43,120,23,0.0,0,0,0,11,23,31,9,0,0,0,0
2,43,120,22,0.0,1,1,0,11,36,31,8,0,2,1,1
2,43,90,22,0.0,0,0,0,11,23,31,8,0,0,0,0
2,43,120,23,0.0,0,1,0,11,23,31,9,0,1,0,0
2,43,150,22,0.0,0,1,0,11,23,31,9,0,2,0,0
2,43,150,22,0.0,0,1,0,11,23,31,9,0,2,1,1
2,43,150,22,0.0,0,1,0,11,23,31,9,0,1,0,0
2,43,120,22,0.0,0,1,0,11,23,31,9,0,2,1,0
2,43,120,22,0.0,0,1,0,11,23,31,9,0,2,0,0
2,43,120,22,0.0,0,1,0,11,23,31,9,0,2,1,2
2,43,120,23,0.0,0,0,0,11,23,31,9,0,2,0,1
2,41,15,23,0.0,1,0,0,11,23,33,9,0,2,0,0
2,41,15,23,0.0,1,0,0,11,23,33,9,0,2,0,1
2,41,60,31,,0,0,0,11,23,33,9,0,2,0,0
2,41,60,31,,0,0,0,11,23,33,9,0,2,0,0
2,41,60,31,,0,0,0,11,23,33,9,0,0,0,0
2,41,90,23,0.0,0,1,0,11,32,33,8,0,2,0,2
2,41,30,23,0.0,0,1,0,11,22,33,8,0,2,0,0
2,41,60,23,0.0,0,0,0,11,36,33,9,0,2,0,0
2,41,30,23,0.0,0,0,0,11,23,33,9,0,0,0,0
2,41,60,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,60,23,0.0,0,0,0,11,23,33,8,0,2,0,2
2,41,10,23,0.0,0,0,0,11,23,33,9,0,2,0,0
2,41,30,23,0.0,0,1,0,11,23,33,9,0,2,0,0
2,41,30,23,0.0,0,1,0,11,23,33,9,0,2,0,1
2,31,40,21,1.0,0,0,0,11,21,33,8,0,0,0,0
2,31,90,23,0.0,0,0,0,11,21,33,8,0,1,1,0
2,43,30,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,31,60,23,1.0,0,0,0,11,21,21,8,0,1,0,1
2,42,15,23,0.0,0,0,0,11,21,33,8,0,0,0,0
2,42,15,23,0.0,0,0,0,11,21,33,8,0,0,0,0
2,43,20,22,1.0,0,0,0,11,21,33,8,0,1,0,1
2,43,30,23,1.0,0,0,0,11,23,31,10,0,0,0,0
2,43,30,23,1.0,0,0,0,11,23,31,10,0,0,0,0
2,31,30,23,0.0,0,1,0,11,21,33,8,0,2,0,0
2,43,40,23,0.0,0,0,0,11,23,31,8,0,0,0,0
2,43,40,23,0.0,0,0,0,11,23,31,8,1,1,0,2
2,43,40,23,0.0,0,1,0,11,23,31,8,0,0,0,0
2,41,30,23,0.0,0,0,0,11,21,33,8,0,1,0,0
2,41,60,22,0.0,0,0,0,11,23,33,8,0,2,0,0
2,41,20,23,0.0,0,1,0,11,23,33,8,0,0,0,0
2,41,40,21,0.0,0,0,0,11,21,33,8,0,0,0,0
2,41,20,22,0.0,0,0,0,11,21,33,8,0,0,0,0
2,41,10,22,0.0,0,0,0,11,11,33,8,0,2,0,0
2,41,30,22,0.0,0,1,0,11,23,31,8,0,2,0,0
2,41,10,23,0.0,0,0,0,11,21,31,8,0,0,0,0
2,41,15,22,0.0,1,0,0,11,23,31,8,0,0,0,0
2,41,15,22,0.0,1,0,0,11,23,31,8,0,0,0,0
2,41,7,22,0.0,1,1,0,11,23,31,8,0,1,0,0
2,41,7,22,0.0,1,1,0,11,23,31,8,0,0,0,0
2,21,20,22,1.0,0,1,0,11,23,33,8,0,2,1,0
2,21,25,22,0.0,0,1,0,11,36,33,8,0,2,1,0
2,21,25,22,0.0,0,1,0,11,36,33,8,0,2,1,0
2,21,30,23,0.0,0,0,0,11,23,33,9,0,1,1,0
2,41,15,21,1.0,1,0,0,34,36,33,2,1,2,0,2
2,32,40,22,0.0,0,0,0,11,23,33,9,0,2,0,2
2,21,15,22,0.0,0,1,0,34,36,31,8,0,2,0,0
2,21,15,22,0.0,0,1,0,34,36,31,8,0,2,0,0
2,42,30,22,0.0,1,0,0,34,23,33,9,0,0,0,0
2,41,40,23,0.0,0,0,0,11,23,33,9,0,1,1,0
2,41,45,23,1.0,1,0,0,11,23,33,8,0,2,2,1
2,14,60,23,0.0,0,1,0,22,36,33,8,0,1,1,0
2,41,20,22,0.0,1,1,0,11,36,31,8,0,2,0,0
2,42,20,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,42,20,22,0.0,0,1,0,11,23,33,8,0,2,0,2
2,32,25,23,0.0,1,1,0,11,23,33,8,0,2,0,0
2,41,40,23,0.0,1,0,0,11,21,31,8,0,1,0,0
2,41,20,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,31,10,22,0.0,0,0,0,11,23,33,9,0,2,1,0
2,41,30,21,0.0,0,0,0,11,36,33,8,0,2,0,0
2,41,60,22,0.0,0,0,0,11,21,31,8,0,0,0,1
2,41,60,22,0.0,0,0,0,11,21,31,8,0,1,0,0
2,41,60,22,0.0,1,0,0,11,24,31,8,0,2,0,1
2,41,60,22,0.0,1,0,0,11,24,31,8,0,1,0,0
2,41,80,22,0.0,0,0,0,11,21,31,8,0,1,0,1
2,14,60,22,0.0,1,0,0,11,21,31,8,0,1,0,0
2,41,90,22,0.0,1,0,0,11,21,31,8,0,2,0,0
2,41,40,22,0.0,1,0,0,11,24,31,8,0,1,1,0
2,14,35,23,0.0,0,0,0,34,36,31,8,0,2,0,0
2,14,30,22,0.0,1,1,0,11,23,31,9,0,2,0,0
2,14,15,23,0.0,1,1,0,34,23,31,8,0,2,0,0
2,14,10,23,0.0,1,0,0,11,36,31,9,0,2,1,0
2,14,10,22,0.0,0,0,0,11,23,31,8,0,0,0,0
2,14,10,22,0.0,0,0,0,11,23,31,8,0,0,0,0
2,41,20,22,0.0,0,0,0,11,36,31,8,1,0,0,0
2,41,20,22,0.0,0,0,0,11,36,31,8,0,0,0,0
2,14,25,31,,0,0,0,11,23,31,8,0,0,0,0
2,14,10,22,0.0,1,0,0,11,23,31,8,0,2,1,2
2,14,10,22,1.0,1,1,0,11,23,31,7,0,2,0,0
2,14,15,22,0.0,1,1,0,11,23,31,9,0,2,0,1
2,14,15,22,0.0,1,1,0,11,23,31,9,0,2,0,0
2,14,10,22,0.0,1,1,0,34,36,31,8,0,2,1,1
2,14,10,22,0.0,1,1,0,34,36,31,8,1,2,1,1
2,12,996,22,0.0,1,1,1,11,36,31,8,0,2,2,2
2,41,30,22,0.0,0,0,0,11,36,33,8,0,2,1,0
2,41,5,22,0.0,1,0,0,11,23,33,8,0,1,0,0
2,14,15,22,0.0,0,0,0,11,23,33,9,0,2,1,0
2,14,15,22,0.0,0,0,0,11,23,33,9,0,2,1,0
2,14,15,22,0.0,0,0,0,11,23,33,9,0,2,1,1
2,14,15,22,0.0,1,1,0,34,36,31,8,0,2,2,1
2,14,15,22,0.0,1,1,0,34,36,31,8,0,2,1,0
2,41,30,22,0.0,0,1,0,11,23,33,8,0,1,1,0
2,14,20,22,0.0,1,1,0,11,36,33,8,0,2,2,0
2,14,20,22,0.0,1,1,0,11,36,33,8,0,2,2,0
2,14,20,22,0.0,0,0,0,11,23,33,8,0,2,0,0
2,41,10,22,0.0,1,1,0,34,23,33,8,0,2,0,1
2,12,996,22,0.0,1,1,0,11,23,33,8,0,2,1,0
2,14,40,22,0.0,0,1,0,11,23,33,9,0,2,1,0
2,41,60,22,0.0,0,1,0,11,23,33,9,0,2,0,1
2,42,40,22,0.0,0,0,0,11,36,33,8,0,1,0,0
2,42,40,22,0.0,0,0,0,11,36,33,8,0,2,1,0
2,42,90,23,1.0,0,0,0,11,23,33,8,0,0,0,0
2,32,60,22,0.0,0,0,0,11,23,33,9,0,0,0,0
2,32,60,22,0.0,0,0,0,11,23,33,9,0,1,0,0
2,42,40,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,21,60,21,0.0,0,0,0,11,22,33,8,0,1,0,0
2,31,40,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,31,40,22,0.0,0,0,0,11,23,33,8,0,1,0,1
2,42,60,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,60,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,32,60,22,0.0,0,1,0,11,23,33,8,0,2,0,1
2,21,40,21,0.0,0,0,0,11,23,33,8,0,0,0,0
2,32,55,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,60,23,0.0,0,0,0,11,23,33,8,0,0,0,0
1,31,60,23,0.0,0,0,0,11,23,33,8,0,0,0,0
1,14,40,22,0.0,0,0,0,11,23,31,8,0,0,0,0
1,14,30,22,0.0,1,1,0,11,22,31,7,0,2,0,0
